"customer_name","order_id","shipping_provider","shipping_delay_days"
"Abigail Bailey",12258,"fedex",5
"Abigail Bailey",8278,"fedex",5
"Abigail Bailey",10084,"fedex",5
"Yara Scott",17166,"fedex",4
"Victoria Lewis",17811,"fedex",4
"Benjamin Harris",3709,"fedex",5
"Benjamin Harris",12348,"fedex",5
"Zackary Adams",325,"fedex",5
"William Martin",19345,"fedex",5
"William Martin",7372,"fedex",4
"Tina Adams",443,"fedex",4
"Quinn Green",10262,"fedex",5
"Chloe Cooper",18545,"fedex",5
"Chloe Cooper",4731,"fedex",5
"Abigail Davis",6423,"fedex",5
"Xena Johnson",8936,"fedex",4
"Xena Johnson",2139,"fedex",4
"Xena Johnson",1723,"fedex",5
"Rachel Smith",17162,"fedex",5
"Daniel Hughes",2493,"fedex",5
"Daniel Hughes",17442,"fedex",4
"Yara Clark",8084,"fedex",4
"Yara Clark",771,"fedex",5
"Steve Davis",6313,"fedex",4
"Steve Davis",1429,"fedex",5
"Noah Smith",8586,"fedex",4
"Noah Smith",5639,"fedex",5
"Rachel Brown",909,"fedex",5
"Rachel Brown",5077,"fedex",4
"Rachel Brown",13081,"fedex",4
"Victor Johnson",19779,"fedex",5
"Hugo Smith",19287,"fedex",5
"Hugo Smith",17362,"fedex",5
"Hugo Smith",761,"fedex",4
"Hugo Smith",3191,"fedex",4
"Liam Brown",15185,"fedex",4
"Liam Brown",2433,"fedex",5
"Liam Brown",6433,"fedex",5
"Liam Brown",9874,"fedex",4
"Paul Smith",5667,"fedex",4
"Tina Reed",15483,"fedex",5
"Tina Reed",11828,"fedex",5
"Tina Reed",10716,"fedex",5
"Benjamin Smith",4151,"fedex",4
"Felix Brown",6311,"fedex",4
"Felix Brown",6569,"fedex",5
"Victor Smith",15728,"fedex",5
"Zachary Davis",16650,"fedex",5
"Derek Reed",14225,"fedex",5
"Hugo Reed",17967,"fedex",4
"Liam Smith",18145,"fedex",5
"Liam Smith",15105,"fedex",5
"Liam Smith",15952,"fedex",5
"Liam Smith",16556,"fedex",4
"Paul Davis",8864,"fedex",5
"Paul Davis",17094,"fedex",5
"Tina Davis",14961,"fedex",4
"Tina Davis",16646,"fedex",4
"Tina Davis",5163,"fedex",4
"Tina Davis",16008,"fedex",5
"Xena Reed",13939,"fedex",5
"Felix Smith",1241,"fedex",5
"Jake Reed",12870,"fedex",5
"Jake Reed",16422,"fedex",4
"Derek Young",1043,"fedex",5
"Peter Peterson",2011,"fedex",4
"Peter Peterson",6909,"fedex",5
"Tara Powell",10970,"fedex",5
"Benjamin Wilson",4601,"fedex",4
"Felix Adams",11428,"fedex",5
"Felix Adams",15976,"fedex",5
"Noah Watson",1171,"fedex",5
"Noah Watson",823,"fedex",5
"Rachel Davis",16016,"fedex",4
"Zackary Smith",13395,"fedex",5
"Zackary Smith",12920,"fedex",5
"Henry Green",7492,"fedex",4
"Liam Brown",10390,"fedex",4
"Liam Brown",6931,"fedex",4
"Tara Walker",6765,"fedex",5
"Benjamin Turner",6777,"fedex",4
"Felix Lee",11792,"fedex",4
"Felix Lee",18387,"fedex",5
"Felix Lee",4641,"fedex",5
"Felix Lee",13951,"fedex",5
"Jake Martin",19483,"fedex",5
"Jake Martin",11458,"fedex",5
"Noah Clark",5403,"fedex",4
"Rachel Adams",10628,"fedex",4
"Rachel Adams",15722,"fedex",5
"Victor Adams",14011,"fedex",4
"Victor Adams",12784,"fedex",4
"Zackary Green",19441,"fedex",5
"Derek Walker",15615,"fedex",5
"Derek Walker",16544,"fedex",4
"Henry Harris",10440,"fedex",4
"Henry Harris",16474,"fedex",5
"Liam Johnson",5631,"fedex",5
"Liam Johnson",7510,"fedex",4
"Peter Reed",18557,"fedex",4
"Tara Harris",10478,"fedex",4
"Xavier Adams",8988,"fedex",5
"Xavier Adams",9886,"fedex",4
"Xavier Adams",5327,"fedex",4
"Benjamin Davis",17502,"fedex",4
"Felix Turner",13007,"fedex",4
"Felix Turner",17813,"fedex",5
"Jake Brown",8404,"fedex",5
"Jake Brown",15073,"fedex",5
"Jake Brown",6743,"fedex",4
"Noah Green",10488,"fedex",4
"Noah Green",16074,"fedex",5
"Derek Brown",12938,"fedex",5
"Derek Brown",18781,"fedex",5
"Henry Wilson",3149,"fedex",4
"Henry Wilson",3231,"fedex",5
"Liam Reed",13497,"fedex",5
"Peter Green",19909,"fedex",4
"Tara Davis",2791,"fedex",5
"Tara Davis",14953,"fedex",5
"Tara Davis",13109,"fedex",5
"Tara Davis",7624,"fedex",5
"Benjamin Reed",12518,"fedex",5
"Felix Johnson",13095,"fedex",5
"Jake Davis",6845,"fedex",5
"Jake Davis",16660,"fedex",4
"Noah Davis",2075,"fedex",4
"Noah Davis",9088,"fedex",5
"Rachel Green",8114,"fedex",5
"Victor Reed",19375,"fedex",5
"Victor Reed",12524,"fedex",4
"Derek Smith",2257,"fedex",4
"Henry Scott",2093,"fedex",4
"Henry Scott",10210,"fedex",4
"Liam Turner",13775,"fedex",4
"Liam Turner",1311,"fedex",4
"Liam Turner",7568,"fedex",5
"Peter Davis",10954,"fedex",5
"Xavier Reed",11786,"fedex",4
"Felix Green",7256,"fedex",4
"Felix Green",12086,"fedex",5
"Jake Scott",703,"fedex",4
"Noah Scott",9008,"fedex",5
"Rachel Harris",4005,"fedex",4
"Rachel Harris",18587,"fedex",4
"Rachel Harris",9912,"fedex",5
"Victor Scott",12790,"fedex",5
"Victor Scott",5759,"fedex",5
"Victor Scott",353,"fedex",4
"Victor Scott",18409,"fedex",4
"Zackary Reed",13755,"fedex",4
"Zackary Reed",5723,"fedex",5
"Henry Reed",6994,"fedex",4
"Henry Reed",14031,"fedex",4
"Henry Reed",1375,"fedex",5
"Henry Reed",155,"fedex",4
"Liam Reed",17312,"fedex",5
"Liam Reed",18373,"fedex",4
"Peter Reed",2361,"fedex",4
"Tara Green",10448,"fedex",5
"Tara Green",3499,"fedex",5
"Xavier Reed",8130,"fedex",4
"Benjamin Green",15539,"fedex",5
"Benjamin Green",12522,"fedex",4
"Benjamin Green",2179,"fedex",5
"Felix Turner",3747,"fedex",4
"Felix Turner",14549,"fedex",4
"Felix Turner",1127,"fedex",4
"Felix Turner",14209,"fedex",5
"Felix Turner",18337,"fedex",4
"Jake Turner",18417,"fedex",5
"Zackary Harris",17076,"fedex",4
"Derek Turner",1501,"fedex",4
"Henry Davis",8738,"fedex",5
"Henry Davis",8978,"fedex",5
"Henry Davis",7986,"fedex",4
"Henry Davis",785,"fedex",4
"Henry Davis",18733,"fedex",4
"Henry Davis",17408,"fedex",4
"Liam Davis",12648,"fedex",5
"Liam Davis",14291,"fedex",4
"Peter Turner",4093,"fedex",4
"Xavier Scott",16414,"fedex",4
"Xavier Scott",7936,"fedex",5
"Xavier Scott",5969,"fedex",4
"Felix Harris",9344,"fedex",5
"Felix Harris",17901,"fedex",5
"Noah Turner",2439,"fedex",5
"Noah Turner",18917,"fedex",5
"Rachel Turner",3755,"fedex",4
"Victor Davis",16420,"fedex",5
"Victor Davis",14981,"fedex",4
"Victor Davis",5677,"fedex",4
"Zackary Scott",9950,"fedex",5
"Henry Smith",13875,"fedex",5
"Henry Smith",6219,"fedex",5
"Liam Reed",3711,"fedex",5
"Peter Scott",9304,"fedex",5
"Peter Scott",17172,"fedex",4
"Tara Reed",16706,"fedex",4
"Xavier Davis",12922,"fedex",5
"Benjamin Turner",4937,"fedex",4
"Felix Scott",4127,"fedex",5
"Felix Scott",7928,"fedex",5
"Jake Davis",8920,"fedex",5
"Jake Davis",147,"fedex",5
"Jake Davis",6727,"fedex",5
"Rachel Reed",2659,"fedex",5
"Victor Turner",7072,"fedex",4
"Victor Turner",4391,"fedex",4
"Zackary Turner",987,"fedex",4
"Zackary Turner",15505,"fedex",4
"Liam Davis",1715,"fedex",4
"Liam Davis",15780,"fedex",4
"Tara Green",8858,"fedex",4
"Tara Green",7012,"fedex",4
"Xavier Green",6129,"fedex",4
"Benjamin Reed",5635,"fedex",4
"Benjamin Reed",18255,"fedex",4
"Felix Davis",8318,"fedex",4
"Felix Davis",17176,"fedex",5
"Jake Green",4959,"fedex",5
"Jake Green",7652,"fedex",5
"Noah Reed",15305,"fedex",5
"Rachel Turner",1763,"fedex",5
"Rachel Turner",13263,"fedex",4
"Rachel Turner",6925,"fedex",4
"Zackary Turner",5093,"fedex",4
"Henry Davis",12840,"fedex",4
"Liam Reed",1823,"fedex",5
"Peter Scott",13099,"fedex",4
"Peter Scott",19161,"fedex",4
"Peter Scott",15663,"fedex",4
"Peter Scott",3819,"fedex",5
"Tara Reed",12974,"fedex",4
"Tara Reed",7728,"fedex",4
"Xavier Reed",11436,"fedex",4
"Xavier Reed",17084,"fedex",5
"Xavier Reed",7100,"fedex",4
"Xavier Reed",833,"fedex",5
"Xavier Reed",1595,"fedex",5
"Felix Reed",14169,"fedex",4
"Jake Scott",8148,"fedex",4
"Jake Scott",2303,"fedex",5
"Jake Scott",11246,"fedex",4
"Jake Scott",14583,"fedex",5
"Noah Turner",16642,"fedex",4
"Noah Turner",19509,"fedex",5
"Victor Reed",1029,"fedex",5
"Victor Reed",7860,"fedex",4
"Victor Reed",6967,"fedex",5
"Zackary Green",15379,"fedex",4
"Derek Turner",14177,"fedex",4
"Henry Scott",17392,"fedex",4
"Liam Davis",7740,"fedex",4
"Liam Davis",7622,"fedex",5
"Liam Davis",15621,"fedex",4
"Liam Davis",269,"fedex",4
"Tara Davis",9602,"fedex",5
"Tara Davis",10640,"fedex",4
"Tara Davis",10916,"fedex",4
"Xavier Davis",9710,"fedex",5
"Benjamin Green",5569,"fedex",4
"Ella Sanders",16874,"fedex",4
"Zackary Green",17857,"fedex",4
"Zackary Green",14813,"fedex",5
"William Green",7984,"fedex",5
"William Green",13799,"fedex",5
"Tina Johnson",18431,"fedex",4
"Tina Johnson",251,"fedex",4
"Felix Carter",7596,"fedex",4
"Daniel Young",4293,"fedex",5
"Daniel Young",3365,"fedex",4
"Daniel Young",19105,"fedex",4
"Daniel Young",6455,"fedex",4
"Abigail Wilson",4805,"fedex",5
"Abigail Wilson",16618,"fedex",5
"Xena Smith",16898,"fedex",4
"Xena Smith",12726,"fedex",4
"Xena Smith",14999,"fedex",5
"Xena Smith",10152,"fedex",4
"Xena Smith",10966,"fedex",4
"Xena Smith",8284,"fedex",5
"Xena Smith",14179,"fedex",4
"Ulysses Davis",8440,"fedex",4
"Benjamin Adams",13727,"fedex",5
"Benjamin Adams",7902,"fedex",4
"Victoria Reed",15996,"fedex",4
"Victoria Reed",15517,"fedex",4
"Victoria Reed",13685,"fedex",4
"Mia Reed",1315,"fedex",4
"Mia Reed",15309,"fedex",5
"Mia Reed",11154,"fedex",5
"Mia Reed",9772,"fedex",5
"Quinn Johnson",16974,"fedex",5
"Ursula Smith",9856,"fedex",4
"Ursula Smith",19403,"fedex",5
"Yvonne Davis",16190,"fedex",5
"Yvonne Davis",5737,"fedex",5
"Yvonne Davis",17723,"fedex",4
"Cynthia Reed",18425,"fedex",4
"Grace Reed",261,"fedex",5
"Karen Davis",16578,"fedex",4
"Olivia Reed",3075,"fedex",5
"Olivia Reed",689,"fedex",5
"Olivia Reed",13063,"fedex",5
"William Brown",17657,"fedex",5
"William Brown",18943,"fedex",4
"Abigail Davis",1173,"fedex",4
"Abigail Davis",5423,"fedex",4
"Abigail Davis",2573,"fedex",5
"Ella Smith",11124,"fedex",5
"Ella Smith",1389,"fedex",5
"Mia Smith",17108,"fedex",5
"Mia Smith",14597,"fedex",4
"Quinn Brown",12678,"fedex",4
"Quinn Brown",8514,"fedex",4
"Yvonne Smith",5201,"fedex",4
"Yvonne Smith",9476,"fedex",5
"Cynthia Davis",17338,"fedex",5
"Cynthia Davis",7698,"fedex",4
"Cynthia Davis",8674,"fedex",4
"Grace Davis",19857,"fedex",5
"Grace Davis",16492,"fedex",4
"Grace Davis",11940,"fedex",5
"Grace Davis",10422,"fedex",4
"Karen Reed",17989,"fedex",5
"Karen Reed",5815,"fedex",5
"Karen Reed",3495,"fedex",5
"Olivia Smith",2891,"fedex",4
"Steve Brown",12977,"fedex",5
"William Davis",6687,"fedex",5
"William Davis",16548,"fedex",4
"Ella Davis",4639,"fedex",4
"Ella Davis",8558,"fedex",4
"Isla Smith",1491,"fedex",4
"Isla Smith",15577,"fedex",5
"Isla Smith",16786,"fedex",4
"Carla Murphy",393,"fedex",4
"Carla Murphy",15567,"fedex",5
"Gina Coleman",19379,"fedex",4
"Gina Coleman",7840,"fedex",4
"Kelly Brooks",2525,"fedex",4
"Kelly Brooks",3725,"fedex",5
"Olivia Bennett",743,"fedex",5
"Olivia Bennett",15740,"fedex",4
"Samuel Moore",523,"fedex",4
"Samuel Moore",15093,"fedex",4
"Wendy Davis",8162,"fedex",4
"Alicia Green",13213,"fedex",5
"Ella Mitchell",2579,"fedex",4
"Isabella Foster",7498,"fedex",5
"Mia Rivera",10778,"fedex",5
"Quinn Scott",1987,"fedex",5
"Quinn Scott",3945,"fedex",4
"Ursula Green",21550,"fedex",4
"Ursula Green",3165,"fedex",4
"Ursula Green",13640,"fedex",4
"Ursula Green",10955,"fedex",5
"Ursula Green",17535,"fedex",4
"Ursula Green",18112,"fedex",5
"Ursula Green",6620,"fedex",4
"Ursula Green",5253,"fedex",5
"Ursula Green",3121,"fedex",4
"Ursula Green",13119,"fedex",4
"Ursula Green",11689,"fedex",5
"Ursula Green",20658,"fedex",4
"Ursula Green",2315,"fedex",4
"Ursula Green",2498,"fedex",4
"Ursula Green",12307,"fedex",4
"Ursula Green",8664,"fedex",4
"Ursula Green",18244,"fedex",4
"Ursula Green",10835,"fedex",5
"Ursula Green",15377,"fedex",4
"Ursula Green",11562,"fedex",4
"Ursula Green",5533,"fedex",4
"Ursula Green",9387,"fedex",4
"Ursula Green",10480,"fedex",4
"Ursula Green",2725,"fedex",5
"Ursula Green",17779,"fedex",4
"Yvonne Clark",21411,"fedex",5
"Yvonne Clark",21484,"fedex",4
"Yvonne Clark",7140,"fedex",4
"Yvonne Clark",5974,"fedex",4
"Yvonne Clark",16732,"fedex",5
"Yvonne Clark",15687,"fedex",4
"Yvonne Clark",1317,"fedex",5
"Yvonne Clark",16489,"fedex",4
"Yvonne Clark",6566,"fedex",4
"Yvonne Clark",10008,"fedex",4
"Yvonne Clark",8536,"fedex",5
"Yvonne Clark",3380,"fedex",4
"Yvonne Clark",5645,"fedex",4
"Yvonne Clark",5375,"fedex",5
"Yvonne Clark",17319,"fedex",5
"Yvonne Clark",3546,"fedex",4
"Yvonne Clark",17203,"fedex",5
"Yvonne Clark",3243,"fedex",5
"Yvonne Clark",1797,"fedex",5
"Yvonne Clark",2509,"fedex",5
"Yvonne Clark",5806,"fedex",5
"Yvonne Clark",20834,"fedex",5
"Yvonne Clark",17478,"fedex",4
"Yvonne Clark",18270,"fedex",4
"Yvonne Clark",1126,"fedex",5
"Yvonne Clark",17990,"fedex",4
"Yvonne Clark",11727,"fedex",5
"Yvonne Clark",18272,"fedex",4
"Yvonne Clark",13157,"fedex",4
"Yvonne Clark",14591,"fedex",5
"Yvonne Clark",594,"fedex",5
"Yvonne Clark",13189,"fedex",5
"Yvonne Clark",20109,"fedex",4
"Yvonne Clark",18606,"fedex",5
"Yvonne Clark",7725,"fedex",4
"Yvonne Clark",20470,"fedex",5
"Yvonne Clark",3617,"fedex",5
"Yvonne Clark",10118,"fedex",5
"Yvonne Clark",12486,"fedex",4
"Yvonne Clark",5509,"fedex",4
"Yvonne Clark",802,"fedex",5
"Carla Turner",21180,"fedex",5
"Carla Turner",17246,"fedex",4
"Carla Turner",10546,"fedex",4
"Carla Turner",14056,"fedex",4
"Carla Turner",20646,"fedex",5
"Carla Turner",16457,"fedex",4
"Carla Turner",6329,"fedex",5
"Carla Turner",20542,"fedex",5
"Carla Turner",5697,"fedex",5
"Carla Turner",6904,"fedex",5
"Carla Turner",15940,"fedex",5
"Carla Turner",12325,"fedex",5
"Carla Turner",15743,"fedex",5
"Carla Turner",11097,"fedex",5
"Carla Turner",18725,"fedex",4
"Carla Turner",9120,"fedex",5
"Carla Turner",15122,"fedex",5
"Carla Turner",20812,"fedex",5
"Carla Turner",17867,"fedex",4
"Carla Turner",9404,"fedex",5
"Carla Turner",7837,"fedex",5
"Carla Turner",15611,"fedex",4
"Carla Turner",2345,"fedex",4
"Carla Turner",4096,"fedex",4
"Carla Turner",15511,"fedex",4
"Carla Turner",17695,"fedex",4
"Carla Turner",17277,"fedex",4
"Carla Turner",11083,"fedex",4
"Carla Turner",20348,"fedex",5
"Carla Turner",16486,"fedex",5
"Carla Turner",10822,"fedex",5
"Carla Turner",2054,"fedex",5
"Carla Turner",4991,"fedex",5
"Carla Turner",14501,"fedex",5
"Carla Turner",7332,"fedex",5
"Carla Turner",7610,"fedex",4
"Carla Turner",11832,"fedex",4
"Carla Turner",4930,"fedex",5
"Carla Turner",8459,"fedex",4
"Gina Adams",21413,"fedex",4
"Gina Adams",21370,"fedex",4
"Gina Adams",21299,"fedex",4
"Gina Adams",1034,"fedex",4
"Gina Adams",9269,"fedex",4
"Gina Adams",3118,"fedex",4
"Gina Adams",8010,"fedex",4
"Gina Adams",20031,"fedex",5
"Gina Adams",18658,"fedex",4
"Gina Adams",836,"fedex",4
"Gina Adams",17963,"fedex",5
"Gina Adams",6793,"fedex",4
"Gina Adams",9579,"fedex",4
"Gina Adams",16456,"fedex",5
"Gina Adams",6990,"fedex",5
"Gina Adams",2920,"fedex",4
"Gina Adams",4210,"fedex",4
"Gina Adams",8809,"fedex",4
"Gina Adams",3689,"fedex",5
"Gina Adams",9191,"fedex",5
"Gina Adams",13778,"fedex",4
"Gina Adams",14664,"fedex",5
"Gina Adams",7782,"fedex",4
"Gina Adams",4105,"fedex",4
"Gina Adams",11098,"fedex",5
"Gina Adams",69,"fedex",4
"Gina Adams",15837,"fedex",4
"Gina Adams",16923,"fedex",5
"Gina Adams",16772,"fedex",5
"Gina Adams",20686,"fedex",5
"Gina Adams",16266,"fedex",4
"Gina Adams",13618,"fedex",4
"Gina Adams",11841,"fedex",4
"Gina Adams",12934,"fedex",5
"Gina Adams",2490,"fedex",4
"Gina Adams",7092,"fedex",5
"Gina Adams",4964,"fedex",5
"Gina Adams",4013,"fedex",5
"Gina Adams",4927,"fedex",4
"Gina Adams",11378,"fedex",5
"Kelly Martinez",21238,"fedex",5
"Kelly Martinez",21208,"fedex",5
"Kelly Martinez",1262,"fedex",5
"Kelly Martinez",10195,"fedex",5
"Kelly Martinez",2886,"fedex",5
"Kelly Martinez",19454,"fedex",5
"Kelly Martinez",18701,"fedex",4
"Kelly Martinez",19017,"fedex",5
"Kelly Martinez",2760,"fedex",4
"Kelly Martinez",8327,"fedex",5
"Kelly Martinez",12245,"fedex",5
"Kelly Martinez",19720,"fedex",5
"Kelly Martinez",16015,"fedex",4
"Kelly Martinez",11376,"fedex",5
"Kelly Martinez",14300,"fedex",4
"Kelly Martinez",17896,"fedex",5
"Kelly Martinez",15370,"fedex",4
"Kelly Martinez",8624,"fedex",5
"Kelly Martinez",19329,"fedex",5
"Kelly Martinez",13824,"fedex",5
"Kelly Martinez",20178,"fedex",4
"Kelly Martinez",16085,"fedex",4
"Kelly Martinez",18174,"fedex",5
"Kelly Martinez",19610,"fedex",4
"Kelly Martinez",11081,"fedex",5
"Kelly Martinez",49,"fedex",5
"Kelly Martinez",12320,"fedex",4
"Kelly Martinez",388,"fedex",5
"Kelly Martinez",4319,"fedex",5
"Kelly Martinez",19785,"fedex",5
"Olivia Clark",21047,"fedex",5
"Olivia Clark",18012,"fedex",4
"Olivia Clark",19284,"fedex",5
"Olivia Clark",1635,"fedex",5
"Olivia Clark",8304,"fedex",4
"Olivia Clark",19416,"fedex",4
"Olivia Clark",18401,"fedex",4
"Olivia Clark",2334,"fedex",4
"Olivia Clark",9028,"fedex",4
"Olivia Clark",9160,"fedex",4
"Olivia Clark",12672,"fedex",4
"Olivia Clark",12415,"fedex",5
"Olivia Clark",13412,"fedex",5
"Olivia Clark",4247,"fedex",4
"Olivia Clark",10783,"fedex",5
"Olivia Clark",2482,"fedex",5
"Olivia Clark",16270,"fedex",4
"Olivia Clark",8778,"fedex",4
"Olivia Clark",9265,"fedex",4
"Olivia Clark",8829,"fedex",5
"Olivia Clark",12130,"fedex",4
"Olivia Clark",20911,"fedex",4
"Olivia Clark",12715,"fedex",4
"Olivia Clark",17029,"fedex",4
"Olivia Clark",15595,"fedex",5
"Olivia Clark",1182,"fedex",4
"Olivia Clark",16594,"fedex",5
"Olivia Clark",2057,"fedex",4
"Olivia Clark",19747,"fedex",4
"Samuel Harris",21314,"fedex",5
"Samuel Harris",10780,"fedex",5
"Samuel Harris",3426,"fedex",4
"Samuel Harris",18840,"fedex",4
"Samuel Harris",8653,"fedex",4
"Samuel Harris",10749,"fedex",5
"Samuel Harris",19088,"fedex",4
"Samuel Harris",14930,"fedex",5
"Samuel Harris",16567,"fedex",5
"Samuel Harris",13873,"fedex",4
"Samuel Harris",19898,"fedex",5
"Samuel Harris",10973,"fedex",4
"Samuel Harris",12499,"fedex",5
"Samuel Harris",17652,"fedex",4
"Samuel Harris",20600,"fedex",4
"Samuel Harris",5559,"fedex",5
"Samuel Harris",2944,"fedex",5
"Samuel Harris",45,"fedex",5
"Samuel Harris",11613,"fedex",5
"Samuel Harris",19254,"fedex",4
"Samuel Harris",15947,"fedex",5
"Samuel Harris",14569,"fedex",5
"Samuel Harris",6702,"fedex",5
"Samuel Harris",5917,"fedex",5
"Samuel Harris",14979,"fedex",4
"Samuel Harris",11885,"fedex",5
"Samuel Harris",17005,"fedex",4
"Samuel Harris",12209,"fedex",5
"Samuel Harris",3635,"fedex",5
"Samuel Harris",6237,"fedex",4
"Samuel Harris",19378,"fedex",5
"Samuel Harris",4198,"fedex",4
"Samuel Harris",13895,"fedex",5
